xmeas_1,xmeas_2,xmeas_3,xmeas_4,xmeas_5,xmeas_6,xmeas_7,xmeas_8,xmeas_9,xmeas_10,xmeas_11,xmeas_12,xmeas_13,xmeas_14,xmeas_15,xmeas_16,xmeas_17,xmeas_18,xmeas_19,xmeas_20,xmeas_21,xmeas_22,xmeas_23,xmeas_24,xmeas_25,xmeas_26,xmeas_27,xmeas_28,xmeas_29,xmeas_30,xmeas_31,xmeas_32,xmeas_33,xmeas_34,xmeas_35,xmeas_36,xmeas_37,xmeas_38,xmeas_39,xmeas_40,xmeas_41,xmv_1,xmv_2,xmv_3,xmv_4,xmv_5,xmv_6,xmv_7,xmv_8,xmv_9,xmv_10,xmv_11,Class
N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,B
FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,PREDICT
0.2526,3680.7,4509.7,9.4044,27.127,42.048,2706.9,74.962,120.42,0.33744,80.139,51.893,2636.0,24.185,50.484,3102.3,24.258,65.723,229.36,341.54,94.547,77.364,32.188,8.8933,26.383,6.882,18.776,1.6567,32.958,13.823,23.978,1.2565,18.579,2.2633,4.8436,2.2986,0.017866,0.8357,0.098577,53.724,43.828,62.765,53.975,24.439,59.939,22.732,40.025,43.671,47.654,47.531,41.376,14.998,0
0.24929,3659.9,4545.6,9.33,26.738,42.229,2705.5,74.862,120.38,0.33768,80.139,50.371,2634.1,22.3,50.373,3103.2,22.774,65.743,231.16,341.31,94.639,77.085,32.188,8.8933,26.383,6.882,18.776,1.6567,32.958,13.823,23.978,1.2565,18.579,2.2633,4.8436,2.2986,0.017866,0.8357,0.098577,53.724,43.828,63.124,53.545,24.765,60.966,22.203,39.996,39.193,47.398,47.369,40.943,18.537,0
0.25109,3649.4,4489.9,9.3709,27.291,42.456,2706.3,75.733,120.4,0.33761,80.056,49.287,2635.0,25.542,49.038,3102.9,23.413,65.713,230.81,341.87,94.576,76.979,32.184,9.0299,26.479,6.8242,19.33,1.6613,32.845,13.843,24.054,1.321,18.519,2.2829,4.8966,2.3735,0.017866,0.8357,0.098577,53.724,43.828,63.304,54.211,24.596,61.039,22.486,40.002,36.001,44.307,47.402,41.761,17.038,0
0.25022,3662.1,4526.5,9.3295,27.078,42.368,2705.8,74.771,120.4,0.33765,80.041,50.383,2634.9,23.827,49.714,3102.5,22.859,65.688,230.94,342.13,94.682,77.51,32.184,9.0299,26.479,6.8242,19.33,1.6613,32.845,13.843,24.054,1.321,18.519,2.2829,4.8966,2.3735,0.017866,0.8357,0.098577,53.724,43.828,63.086,53.774,24.681,60.318,22.24,39.998,39.226,45.871,47.392,41.711,18.318,0
0.24853,3672.0,4454.4,9.3267,26.696,42.187,2705.5,74.276,120.4,0.33775,80.085,48.38,2634.0,24.687,51.09,3102.5,24.418,65.712,231.72,341.68,94.492,77.307,32.13,8.9324,26.076,6.8632,18.654,1.5948,32.669,13.928,23.903,1.1434,18.57,2.2671,4.7522,2.3619,0.017866,0.8357,0.098577,53.724,43.828,63.449,53.231,24.923,62.115,22.261,40.543,33.332,49.056,47.324,41.271,14.626,0
0.25052,3712.5,4459.8,9.2423,26.563,42.139,2707.1,75.127,120.4,0.33634,80.212,50.488,2635.9,23.629,49.97,3102.4,23.55,65.721,229.68,341.92,94.605,77.418,32.13,8.9324,26.076,6.8632,18.654,1.5948,32.669,13.928,23.903,1.1434,18.57,2.2671,4.7522,2.3619,0.010783,0.84706,0.097594,53.151,45.091,62.753,53.165,24.728,61.701,22.272,40.715,39.537,46.465,47.505,40.529,16.667,0
0.25661,3695.9,4530.8,9.4291,26.448,42.214,2706.4,75.201,120.42,0.34995,80.176,48.763,2634.9,24.635,49.453,3102.0,20.812,65.759,227.8,341.95,94.518,77.19,32.302,8.9939,25.963,6.8734,18.976,1.6709,33.518,13.771,24.267,1.2765,18.395,2.2733,4.7419,2.1789,0.010783,0.84706,0.097594,53.151,45.091,62.732,53.939,25.212,60.393,22.209,41.407,34.461,45.268,47.671,41.172,23.186,0
0.25785,3656.2,4507.7,9.2794,27.036,42.47,2703.4,74.511,120.4,0.3501,79.912,48.973,2632.5,27.233,51.346,3101.0,23.266,65.718,231.75,342.1,94.629,77.234,32.302,8.9939,25.963,6.8734,18.976,1.6709,33.518,13.771,24.267,1.2765,18.395,2.2733,4.7419,2.1789,0.010783,0.84706,0.097594,53.151,45.091,63.415,54.215,25.09,61.32,22.463,41.387,35.078,49.65,47.322,41.543,17.376,0
