xmeas_21,xmeas_22,xmeas_23,xmeas_24,xmeas_25,xmeas_26,xmeas_27,xmeas_28,xmeas_29,xmeas_30,xmeas_31,xmeas_32,xmeas_33,xmeas_34,xmeas_35,xmeas_36,xmeas_37,xmeas_38,xmeas_39,xmeas_40,xmeas_41,xmv_1,xmv_2,xmv_3,xmv_4,xmv_5,xmv_6,xmv_7,xmv_8,xmv_9,xmv_10,xmv_11,Class
N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,B
FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,PREDICT
94.547,77.364,32.188,8.8933,26.383,6.882,18.776,1.6567,32.958,13.823,23.978,1.2565,18.579,2.2633,4.8436,2.2986,0.017866,0.8357,0.098577,53.724,43.828,62.765,53.975,24.439,59.939,22.732,40.025,43.671,47.654,47.531,41.376,14.998,0
94.639,77.085,32.188,8.8933,26.383,6.882,18.776,1.6567,32.958,13.823,23.978,1.2565,18.579,2.2633,4.8436,2.2986,0.017866,0.8357,0.098577,53.724,43.828,63.124,53.545,24.765,60.966,22.203,39.996,39.193,47.398,47.369,40.943,18.537,0
94.576,76.979,32.184,9.0299,26.479,6.8242,19.33,1.6613,32.845,13.843,24.054,1.321,18.519,2.2829,4.8966,2.3735,0.017866,0.8357,0.098577,53.724,43.828,63.304,54.211,24.596,61.039,22.486,40.002,36.001,44.307,47.402,41.761,17.038,0
94.682,77.51,32.184,9.0299,26.479,6.8242,19.33,1.6613,32.845,13.843,24.054,1.321,18.519,2.2829,4.8966,2.3735,0.017866,0.8357,0.098577,53.724,43.828,63.086,53.774,24.681,60.318,22.24,39.998,39.226,45.871,47.392,41.711,18.318,0
94.492,77.307,32.13,8.9324,26.076,6.8632,18.654,1.5948,32.669,13.928,23.903,1.1434,18.57,2.2671,4.7522,2.3619,0.017866,0.8357,0.098577,53.724,43.828,63.449,53.231,24.923,62.115,22.261,40.543,33.332,49.056,47.324,41.271,14.626,0
94.605,77.418,32.13,8.9324,26.076,6.8632,18.654,1.5948,32.669,13.928,23.903,1.1434,18.57,2.2671,4.7522,2.3619,0.010783,0.84706,0.097594,53.151,45.091,62.753,53.165,24.728,61.701,22.272,40.715,39.537,46.465,47.505,40.529,16.667,0
94.518,77.19,32.302,8.9939,25.963,6.8734,18.976,1.6709,33.518,13.771,24.267,1.2765,18.395,2.2733,4.7419,2.1789,0.010783,0.84706,0.097594,53.151,45.091,62.732,53.939,25.212,60.393,22.209,41.407,34.461,45.268,47.671,41.172,23.186,0
94.629,77.234,32.302,8.9939,25.963,6.8734,18.976,1.6709,33.518,13.771,24.267,1.2765,18.395,2.2733,4.7419,2.1789,0.010783,0.84706,0.097594,53.151,45.091,63.415,54.215,25.09,61.32,22.463,41.387,35.078,49.65,47.322,41.543,17.376,0
94.556,77.416,32.325,8.7535,26.176,6.7826,18.798,1.6311,33.03,13.908,24.043,1.1496,18.586,2.2498,4.8192,2.304,0.010783,0.84706,0.097594,53.151,45.091,62.853,53.672,23.694,62.657,22.219,39.694,42.635,45.088,47.453,41.124,17.851,0
94.629,77.151,32.325,8.7535,26.176,6.7826,18.798,1.6311,33.03,13.908,24.043,1.1496,18.586,2.2498,4.8192,2.304,0.010783,0.84706,0.097594,53.151,45.091,63.128,53.667,23.666,63.115,22.138,39.67,42.003,47.302,47.588,41.481,18.292,0
94.534,77.285,32.606,8.8335,26.79,6.9609,18.859,1.6167,32.798,13.642,23.911,1.2964,18.429,2.2679,4.8056,2.2905,0.02583,0.84498,0.11385,53.334,43.408,63.268,54.58,23.057,59.546,22.167,40.769,38.663,44.864,47.759,41.281,21.529,0
94.604,77.042,32.606,8.8335,26.79,6.9609,18.859,1.6167,32.798,13.642,23.911,1.2964,18.429,2.2679,4.8056,2.2905,0.02583,0.84498,0.11385,53.334,43.408,63.193,53.934,23.34,60.715,22.211,41.356,38.331,47.019,47.599,41.121,17.629,0
94.506,77.842,32.104,8.9718,26.596,7.0383,18.741,1.6185,33.206,13.858,24.2,1.1175,18.141,2.2835,4.8735,2.2894,0.02583,0.84498,0.11385,53.334,43.408,63.515,53.882,20.3,60.828,22.374,37.537,43.289,47.177,47.871,40.506,15.569,0
94.73,77.517,32.104,8.9718,26.596,7.0383,18.741,1.6185,33.206,13.858,24.2,1.1175,18.141,2.2835,4.8735,2.2894,0.02583,0.84498,0.11385,53.334,43.408,62.854,53.671,20.217,62.694,22.591,37.532,36.797,48.501,48.057,40.554,20.929,0
94.557,77.065,31.989,8.9628,26.356,6.8784,18.705,1.6679,33.223,13.654,23.788,1.1863,18.297,2.2765,4.8076,2.3016,0.02583,0.84498,0.11385,53.334,43.408,62.434,54.307,24.905,62.4,22.158,40.39,41.589,44.718,48.033,41.171,17.838,0
94.837,77.187,31.989,8.9628,26.356,6.8784,18.705,1.6679,33.223,13.654,23.788,1.1863,18.297,2.2765,4.8076,2.3016,0.029665,0.84146,0.095579,54.892,43.745,62.347,53.716,24.798,60.141,22.15,40.608,35.844,45.877,48.107,40.3,18.445,0
94.622,76.737,32.397,9.0231,26.185,6.8033,18.9,1.6594,32.392,13.807,23.924,1.1747,18.638,2.2734,4.8457,2.2943,0.029665,0.84146,0.095579,54.892,43.745,62.719,54.109,26.093,60.139,22.075,37.969,39.648,46.971,48.163,40.948,19.446,0
94.58,77.127,32.397,9.0231,26.185,6.8033,18.9,1.6594,32.392,13.807,23.924,1.1747,18.638,2.2734,4.8457,2.2943,0.029665,0.84146,0.095579,54.892,43.745,63.233,54.396,26.039,61.71,22.463,37.477,39.011,46.933,48.179,40.688,20.233,0
94.634,77.286,31.898,8.9971,25.759,6.9715,18.717,1.6779,33.057,13.906,24.029,1.2667,18.454,2.2635,4.9072,2.2581,0.029665,0.84146,0.095579,54.892,43.745,63.093,54.09,22.33,59.815,22.517,39.81,37.318,48.655,48.295,41.286,18.372,0
94.464,77.483,31.898,8.9971,25.759,6.9715,18.717,1.6779,33.057,13.906,24.029,1.2667,18.454,2.2635,4.9072,2.2581,0.029665,0.84146,0.095579,54.892,43.745,63.187,54.136,22.393,60.616,22.456,39.822,37.548,48.903,48.449,41.337,18.252,0
94.551,78.148,32.019,8.8449,26.159,6.76,18.761,1.6371,32.792,13.852,24.135,1.302,18.52,2.2999,4.7781,2.22,0.015578,0.84005,0.12053,53.308,44.383,62.327,53.873,26.926,61.171,22.472,41.472,42.423,49.346,48.579,41.405,19.097,0
94.604,77.535,32.019,8.8449,26.159,6.76,18.761,1.6371,32.792,13.852,24.135,1.302,18.52,2.2999,4.7781,2.22,0.015578,0.84005,0.12053,53.308,44.383,62.6,53.66,26.949,60.728,22.269,41.353,38.955,48.484,48.472,41.016,17.753,0
94.443,77.307,32.196,8.8958,26.629,6.8299,18.569,1.6684,32.996,13.799,24.32,1.1725,18.661,2.2908,4.8357,2.2249,0.015578,0.84005,0.12053,53.308,44.383,63.796,53.843,25.888,62.124,22.624,40.513,40.579,42.15,48.695,41.676,18.523,0
94.52,77.035,32.196,8.8958,26.629,6.8299,18.569,1.6684,32.996,13.799,24.32,1.1725,18.661,2.2908,4.8357,2.2249,0.015578,0.84005,0.12053,53.308,44.383,63.342,53.586,25.936,60.625,22.633,40.005,36.581,47.283,48.747,40.963,18.496,0
94.478,77.186,32.162,8.9382,26.309,6.9237,18.752,1.6868,32.754,13.832,23.854,1.172,18.884,2.2385,4.9635,2.3159,0.015578,0.84005,0.12053,53.308,44.383,63.213,54.116,24.319,59.266,22.407,40.069,35.501,50.2,48.606,41.007,19.296,0
94.648,77.262,32.162,8.9382,26.309,6.9237,18.752,1.6868,32.754,13.832,23.854,1.172,18.884,2.2385,4.9635,2.3159,0.034215,0.82892,0.098625,54.05,43.495,62.995,54.259,24.489,59.545,22.111,39.836,31.476,45.459,48.709,40.339,16.703,0
94.492,77.226,32.095,8.7875,26.44,6.8521,18.616,1.6414,33.185,13.916,23.929,1.1908,18.394,2.2742,4.77,2.2541,0.034215,0.82892,0.098625,54.05,43.495,62.897,53.841,24.533,62.03,22.354,40.145,39.634,46.127,48.635,41.365,17.052,0
94.701,77.206,32.095,8.7875,26.44,6.8521,18.616,1.6414,33.185,13.916,23.929,1.1908,18.394,2.2742,4.77,2.2541,0.034215,0.82892,0.098625,54.05,43.495,62.399,53.804,24.911,62.092,22.297,40.26,46.891,48.189,48.919,41.038,20.429,0
94.433,77.123,32.345,8.8472,26.426,6.837,18.976,1.6626,32.968,13.845,23.608,1.325,18.704,2.2407,4.9163,2.3296,0.034215,0.82892,0.098625,54.05,43.495,63.115,53.954,25.574,62.212,22.35,41.596,38.71,46.719,49.075,41.13,18.911,0
